> gbmFit
Stochastic Gradient Boosting 

420689 samples
    57 predictor
     2 classes: 'not_exciting', 'exciting' 

No pre-processing
Resampling: Cross-Validated (5 fold) 

Summary of sample sizes: 44864, 44864, 44864, 44864, 44864 

Resampling results across tuning parameters:

  shrinkage  interaction.depth  n.minobsinnode  n.trees  ROC        Sens       Spec       ROC SD       Sens SD       Spec SD     
  0.01       7                  10              2000     0.5807230  0.9200883  0.1303887  0.008200579  0.0024206779  0.0037405886
  0.01       7                  10              2500     0.5836873  0.9204816  0.1303897  0.006592314  0.0023365973  0.0037003145
  0.01       7                  10              3000     0.5875524  0.9208695  0.1300228  0.006554591  0.0022624953  0.0038141252
  0.01       7                  10              3500     0.5893613  0.9212286  0.1300664  0.005895206  0.0021677564  0.0034807874
  0.01       7                  10              4000     0.5901236  0.9213541  0.1299281  0.005878932  0.0020691502  0.0036362673
  0.01       7                  50              2000     0.5811897  0.9203106  0.1299725  0.004980634  0.0022832263  0.0038785397
  0.01       7                  50              2500     0.5854335  0.9208636  0.1299722  0.004566467  0.0022439530  0.0041181113
  0.01       7                  50              3000     0.5874395  0.9211145  0.1297420  0.004837860  0.0021025678  0.0039435817
  0.01       7                  50              3500     0.5887666  0.9214053  0.1293731  0.004875751  0.0020893364  0.0040563465
  0.01       7                  50              4000     0.5897308  0.9213598  0.1299741  0.004373858  0.0021560280  0.0039804396
  0.01       8                  10              2000     0.5759691  0.9204702  0.1295096  0.006133740  0.0021470444  0.0034628866
  0.01       8                  10              2500     0.5821974  0.9208864  0.1296018  0.006175458  0.0022282993  0.0037956990
  0.01       8                  10              3000     0.5848692  0.9211772  0.1293245  0.005196901  0.0021549102  0.0038657058
  0.01       8                  10              3500     0.5862436  0.9214394  0.1295586  0.003983599  0.0020069439  0.0038565207
  0.01       8                  10              4000     0.5887255  0.9214395  0.1296515  0.003300271  0.0021354488  0.0039652488
  0.01       8                  50              2000     0.5793925  0.9202593  0.1300188  0.004010169  0.0021505779  0.0037350190
  0.01       8                  50              2500     0.5828960  0.9207611  0.1296472  0.004889829  0.0021810417  0.0036627801
  0.01       8                  50              3000     0.5859470  0.9210175  0.1296453  0.004794552  0.0020777159  0.0038588044
