projectid,school_state,poverty_level,project_score,rank
ee6b4a25b271b38527b36c1f218cac34,AK,"highest poverty",0.1410,1
c524444600d88bc16e4dd38807457485,AK,"highest poverty",0.1305,2
3bbf6efcc53f8e62895c416ccfcb9497,AK,"high poverty",0.0888,3
ebd2cfe7f69ef6d4c67e74242f388cad,AK,"highest poverty",0.0862,4
f1ec22e091f09426015d83eb177c9259,AK,"high poverty",0.0679,5
727807d182cd851029c432edc481ad7c,AL,"highest poverty",0.1938,1
6aabb1ab54c85407905a36310c2ea7d7,AL,"highest poverty",0.1938,2
afbb8a93dfb047d435d3fd1fff46f6d4,AL,"highest poverty",0.1938,3
b71969501b4598f348bfc94dee0f9c63,AL,"highest poverty",0.1318,4
3f8557aa95600b77c1186a2faafe8bfa,AL,"highest poverty",0.0930,5
cb81efbc31dd0721d30b0cd3aebd6804,AR,"moderate poverty",0.1024,1
ae8744d2eda5fcfe1cfa5f6fb4ec4eb5,AR,"highest poverty",0.0785,2
9a00af575b0890baf43d5593b89229b9,AR,"highest poverty",0.0785,3
30b9dd4aaca3958279dd253d9a1ce306,AR,"highest poverty",0.0593,4
7a7c72ab14f85dfcbb1f4da24c13c267,AR,"highest poverty",0.0517,5
128e9cca3f84aee8ba718b851eaf4158,AZ,"highest poverty",0.1224,1
8bc372a84525e0dcd75d02db8813d340,AZ,"highest poverty",0.1103,2
ff00bcdad63c0e66ba708774c6ef9a94,AZ,"highest poverty",0.1103,3
19534df0eb839f9a35bd7d91a7cc4f07,AZ,"highest poverty",0.0920,4
d9b79f210bd1ac4597974c6e6027bd33,AZ,"highest poverty",0.0736,5
cbf7ef0ab22e5b4e0f3b75b114a20659,CA,"highest poverty",0.0170,1
f81b7b4a09e3ee7d6845569da00a1d84,CA,"highest poverty",0.0169,2
d7d2bcc0566d60a96ca9d4ccce2c555c,CA,"highest poverty",0.0169,3
2a17ff4c4a4496dd92fbaaf76197a45e,CA,"highest poverty",0.0169,4
4022b3f73163a1deb82a9a45779aa846,CA,"highest poverty",0.0169,5
1f6ddb38095a2fc27ea2d2ecabf5b20a,CO,"high poverty",0.1587,1
d977830d7c1eb8afaead097febdd50aa,CO,"high poverty",0.1538,2
0f12a0548f33613da28cbc9584da5482,CO,"high poverty",0.1538,3
3499dfa4293c2d9ceee12be87823be39,CO,"high poverty",0.1153,4
5c4c31a8678930d5a372aa0973d7224c,CO,"moderate poverty",0.0774,5
87de36f98debf1f7f3e8ad4c44fd7659,CT,"high poverty",0.2178,1
9e17f1944f65c1fc29e77a107c0a3751,CT,"highest poverty",0.1975,2
1f6dc8cf8a2650b69da7a02b902d9660,CT,"highest poverty",0.0987,3
cb7bf13698539792e4b22cd6d1735bc2,CT,"highest poverty",0.0742,4
6db0136f31cc062fad1b3ff8102675fe,CT,"highest poverty",0.0664,5
df816aeb4a50c5b4a63ea6ef8ff5a283,DC,"highest poverty",0.1797,1
3df624a5203eb4641664c1bc213b1018,DC,"highest poverty",0.0806,2
